h,S1245x,S1245y,S1245z,S1346x,S1346y,S1346z,S2356x,S2356y,S2356z,SAx,SAy,SAz,SBx,SBy,SBz,SCx,SCy,SCz
0.03007518796992481,1.020997023047138e-14,2.7886689989798994e-6,-1.3333333333304187,9.846491921901444e-15,2.788668999086385e-6,-1.3333333333304165,1.0193130442182235e-14,2.7886689989360693e-6,-1.3333333333304185,-7.304193940510614e-15,-2.052695005936723e-6,0.9999999999978937,-7.869079016177998e-15,-2.0526950065838303e-6,0.9999999999978939,-8.05119131222021e-15,-2.0526950059554327e-6,0.9999999999978939
0.06015037593984962,7.00861473672887e-15,1.4635196714431184e-6,-1.3333333333325295,7.190049593883593e-15,1.4635196713017357e-6,-1.3333333333325301,6.8226473200175895e-15,1.4635196712434904e-6,-1.3333333333325277,-4.050069102045536e-15,-1.0574194216536516e-6,0.99999999999944,-4.5055179721484574e-15,-1.0574194220448413e-6,0.9999999999994402,-6.195896349031339e-15,-1.0574194184979973e-6,0.99999999999944
0.09022556390977443,4.115302609809099e-15,1.0280626808550341e-6,-1.3333333333329414,3.864377888594797e-15,1.0280626804000322e-6,-1.3333333333329358,4.474011450357588e-15,1.0280626802046937e-6,-1.3333333333329414,-3.9273474381302165e-15,-7.29186376828362e-7,0.9999999999997361,-3.992041009724306e-15,-7.291863762752698e-7,0.9999999999997359,-2.8940596414056953e-15,-7.291863781665685e-7,0.9999999999997361
0.12030075187969924,3.0619885360397165e-15,8.118464087113084e-7,-1.3333333333330861,3.1557356614119753e-15,8.118464092485621e-7,-1.3333333333330841,3.3436195243331275e-15,8.118464081697583e-7,-1.3333333333330835,-2.134735102134123e-15,-5.653353500496352e-7,0.9999999999998394,-2.0121406947032272e-15,-5.653353507119185e-7,0.9999999999998392,-3.3660263202064527e-15,-5.653353501996683e-7,0.9999999999998392
0.15037593984962405,3.1484328766432904e-15,6.861148355791518e-7,-1.3333333333331547,3.1773075215843423e-15,6.861148353749487e-7,-1.3333333333331598,3.2382164734755317e-15,6.861148357360168e-7,-1.3333333333331545,-2.318335581532969e-15,-4.6911548736201505e-7,0.99999999999989,-2.4505527357265747e-15,-4.691154869331846e-7,0.9999999999998898,-2.11551031378853e-15,-4.6911548729421895e-7,0.9999999999998896
0.18045112781954886,3.0216431117734005e-15,6.124908576332006e-7,-1.3333333333331938,3.0116453117866926e-15,6.124908574982612e-7,-1.3333333333331914,3.0471393461460482e-15,6.124908576202832e-7,-1.3333333333331925,-2.112643596675214e-15,-4.112113423233339e-7,0.9999999999999156,-1.853364941488056e-15,-4.1121134286843793e-7,0.9999999999999157,-2.1417869434084733e-15,-4.1121134219963215e-7,0.9999999999999157
0.21052631578947367,2.484776569959482e-15,5.580035113406868e-7,-1.3333333333332174,2.309563376550255e-15,5.580035111288031e-7,-1.3333333333332174,2.5114172146912132e-15,5.580035110340162e-7,-1.3333333333332151,-1.4643713779653699e-15,-3.678843385215151e-7,0.9999999999999322,-1.448459179250457e-15,-3.6788433861507466e-7,0.9999999999999325,-2.1385286458884024e-15,-3.678843422559574e-7,0.9999999999999323
0.24060150375939848,2.394273804200098e-15,5.40442939458749e-7,-1.3333333333332196,2.403545179234365e-15,5.404429394613046e-7,-1.3333333333332253,2.7329202102253628e-15,5.404429398030629e-7,-1.3333333333332216,-1.5255707597703696e-15,-3.4967720970704697e-7,0.9999999999999375,-1.4624589963711105e-15,-3.4967721005267167e-7,0.999999999999937,-1.3817025469209251e-15,-3.496772103627463e-7,0.9999999999999372
0.2706766917293233,2.098670253766817e-15,4.980905101170796e-7,-1.3333333333332402,2.2875530038790236e-15,4.980905101210762e-7,-1.333333333333241,1.5747054768363295e-15,4.980905112235122e-7,-1.3333333333332404,-4.889233483115393e-16,-3.167073177714981e-7,0.9999999999999502,-2.063319261913862e-16,-3.167073178065881e-7,0.9999999999999503,-3.605976751650187e-15,-3.167073165687552e-7,0.9999999999999503
0.3007518796992481,1.863156297685327e-15,4.809646160874679e-7,-1.3333333333332464,1.834085615124247e-15,4.809646164596385e-7,-1.3333333333332473,2.3319790780403952e-15,4.809646161070578e-7,-1.333333333333246,-8.102225650794772e-16,-3.0014827996343523e-7,0.999999999999955,-6.992974195483206e-16,-3.0014828018755295e-7,0.999999999999955,-1.7481052465846654e-15,-3.001482797849398e-7,0.999999999999955
