h,S1245x,S1245y,S1245z,S1346x,S1346y,S1346z,S2356x,S2356y,S2356z,SAx,SAy,SAz,SBx,SBy,SBz,SCx,SCy,SCz
0.03007518796992481,3.390657060070044e-15,2.788593953070058e-6,-1.3333252131318518,4.006007212867582e-15,2.7885939527502047e-6,-1.3333252131318503,3.652645482463929e-15,2.7885939532434596e-6,-1.3333252131318518,-2.6822208612544193e-15,-2.0526521288893336e-6,0.9999999999950188,-3.111814732753145e-15,-2.0526521286910055e-6,0.9999999999950188,-2.4227315468200594e-15,-2.0526521297781723e-6,0.9999999999950188
0.06015037593984962,9.866969621333161e-16,1.4634394671250813e-6,-1.3333185151570661,1.1689767165191456e-15,1.4634394671667356e-6,-1.3333185151570677,1.4631032493749917e-15,1.4634394678075612e-6,-1.333318515157067,-6.24120694090049e-16,-1.05737296902209e-6,0.9999999999978643,-9.415256364403929e-16,-1.0573729694695583e-6,0.999999999997864,-7.410580865700048e-16,-1.0573729695638225e-6,0.9999999999978638
0.09022556390977443,3.684748359400625e-16,1.0279726743191522e-6,-1.333306292462587,-4.272144088073112e-17,1.0279726739145612e-6,-1.333306292462587,5.999070338337146e-16,1.0279726737407574e-6,-1.333306292462586,-7.212048565684934e-16,-7.291368543286079e-7,0.9999999999988701,-3.4492603105805973e-16,-7.291368542754859e-7,0.999999999998871,5.333778769343839e-16,-7.291368579558495e-7,0.999999999998871
0.12030075187969924,3.536196493062625e-16,8.117376863322831e-7,-1.3332839883266951,2.38168717671788e-16,8.117376859724859e-7,-1.3332839883266918,7.092570683788202e-16,8.117376861023276e-7,-1.3332839883266936,-1.6816196671414127e-16,-5.65279695354282e-7,0.9999999999993662,-7.203954838163587e-16,-5.652796948706504e-7,0.9999999999993663,-2.1072503503695092e-16,-5.652796953521744e-7,0.9999999999993663
0.15037593984962405,2.2443785306608007e-17,6.859747713347107e-7,-1.3332432883068748,1.1698497957366862e-16,6.859747708011203e-7,-1.333243288306878,-2.65977025330057e-16,6.859747709462767e-7,-1.3332432883068788,-1.0070340687466931e-16,-4.6904979296320073e-7,0.99999999999963,4.122764757831828e-17,-4.690497928944547e-7,0.9999999999996302,-1.6125842746859066e-16,-4.6904979278513477e-7,0.9999999999996303
0.18045112781954886,3.1525480587780504e-16,6.12300982659627e-7,-1.3331690228379376,4.714172276081512e-16,6.12300982707578e-7,-1.3331690228379394,-1.9565347684710465e-17,6.123009832026645e-7,-1.3331690228379407,-2.7653943376474263e-16,-4.1113150995037607e-7,0.999999999999773,-2.732772700369549e-16,-4.1113151042599217e-7,0.9999999999997725,1.8139475728030685e-16,-4.1113151064550753e-7,0.9999999999997727
0.21052631578947367,-4.486738574098392e-17,5.402983383159518e-7,-1.3330335200118157,1.8096016939533023e-16,5.402983382565202e-7,-1.3330335200118137,-1.0603445705887752e-16,5.402983379603223e-7,-1.3330335200118169,-1.6541747720594889e-16,-3.5628621718793253e-7,0.9999999999998597,-8.294170750074508e-17,-3.5628621804641737e-7,0.9999999999998594,3.3809839271528695e-16,-3.562862217326771e-7,0.9999999999998594
0.24060150375939848,-1.1711087573253763e-16,4.671542208965883e-7,-1.3327863171878598,-3.0902108575447046e-16,4.671542212740512e-7,-1.332786317187865,-8.168538221795871e-16,4.6715422086456537e-7,-1.332786317187863,7.891510544257382e-17,-3.025723464376807e-7,0.9999999999999112,3.010358804167954e-16,-3.025723469886785e-7,0.9999999999999112,2.402024263475787e-16,-3.025723461281358e-7,0.9999999999999114
0.2706766917293233,-7.40282954778572e-16,4.009846075589814e-7,-1.3323354426585283,-4.269059657120713e-16,4.009846069838532e-7,-1.3323354426585268,-8.287201964720122e-16,4.009846076021095e-7,-1.3323354426585314,3.2445798079564355e-16,-2.551382701186697e-7,0.9999999999999448,2.6608421603556843e-16,-2.551382699955981e-7,0.9999999999999446,4.718535335403734e-16,-2.551382698030136e-7,0.9999999999999448
0.3007518796992481,-5.635608652700891e-16,3.383465722640811e-7,-1.3315134451595612,-6.594030122162622e-16,3.3834657253252163e-7,-1.331513445159562,-9.131236807385687e-16,3.3834657249321195e-7,-1.3315134451595643,9.645721701616802e-16,-2.115470756596035e-7,0.9999999999999649,4.19486984341978e-16,-2.1154707569569176e-7,0.9999999999999648,-1.1580218115301514e-17,-2.115470736135017e-7,0.9999999999999647
