h,S1245x,S1245y,S1245z,S1346x,S1346y,S1346z,S2356x,S2356y,S2356z,SAx,SAy,SAz,SBx,SBy,SBz,SCx,SCy,SCz
0.0,3.892010731324169e-15,5.125179685238932e-15,1.3333333333333326,3.891601220053484e-15,5.194829829975696e-15,1.3333333333333335,3.9332575944017444e-15,5.1589463482873836e-15,1.333333333333333,-2.9426325505776787e-15,-3.886586767412218e-15,-0.9999999999999998,-2.840974226724903e-15,-3.908792268950873e-15,-0.9999999999999998,-3.0040457879636553e-15,-3.8138381275945225e-15,-0.9999999999999998
0.03007518796992481,2.2035555312255493e-15,5.316159723703599e-7,-1.3333333333332271,2.4529081073744337e-15,5.316159722678734e-7,-1.3333333333332282,2.498519907073872e-15,5.316159732020968e-7,-1.333333333333228,-1.7881545327669005e-15,-3.828655258482225e-7,0.9999999999999267,-1.908249527652847e-15,-3.828655255374754e-7,0.9999999999999267,-1.4289690070071321e-15,-3.828655263686979e-7,0.9999999999999266
0.06015037593984962,-4.182077999699462e-16,-1.5891431315535677e-15,-1.333333333333333,-4.952061049213255e-16,-1.2106586679799784e-15,-1.3333333333333335,-4.437812230175087e-16,-1.272904555750395e-15,-1.3333333333333321,4.6008401562053065e-16,1.067438290821245e-15,0.9999999999999997,4.217240784133941e-16,8.912621704856798e-16,0.9999999999999997,9.650111471028705e-16,8.388011390060482e-16,0.9999999999999997
0.09022556390977443,-6.207288796286585e-16,-7.923768342567152e-16,-1.3333333333333344,-7.348463858279728e-16,-5.997871360031675e-16,-1.333333333333331,-5.258441625995358e-16,-6.373204325906308e-16,-1.3333333333333353,3.518721624444308e-16,6.721946207499026e-16,1.0000000000000002,6.324202439273477e-16,6.167935025431271e-16,1.0000000000000002,2.2405800569820294e-16,5.222388132108874e-16,1.0000000000000002
0.12030075187969924,2.0067869795038207e-16,4.021176854401122e-17,-1.333333333333336,3.3685172719487075e-16,7.195084394381245e-17,-1.3333333333333335,2.505629472453499e-16,8.274620724503461e-17,-1.3333333333333344,-2.6543231737364157e-16,7.202407972013229e-17,1.0000000000000009,-1.276315908243916e-18,-1.0943360028574035e-16,1.0000000000000009,-2.9743776677914005e-16,-2.450361426536869e-16,1.0000000000000009
0.15037593984962405,9.63515608577089e-16,8.767581395402375e-17,-1.3333333333333346,1.0144873729762378e-15,-2.912406775645691e-17,-1.3333333333333357,7.768274961536078e-16,1.9622343047452918e-16,-1.333333333333334,-5.842321008759118e-16,1.5926835915872212e-16,1.0000000000000009,-8.959215845040949e-16,-1.0760382838547202e-16,1.0000000000000009,-3.78968795418985e-16,-2.165344605126397e-16,1.0000000000000009
0.18045112781954886,3.651559659608099e-16,2.9350102803508677e-16,-1.3333333333333337,5.652085264837701e-16,1.5948965779389828e-16,-1.3333333333333333,3.4727001783063154e-16,2.1076736852425138e-16,-1.3333333333333348,-3.1038723008873956e-16,-1.358001102072182e-16,1.0000000000000004,-2.740946414918947e-16,-8.243639159778702e-17,1.0000000000000004,-3.338512386616445e-16,-2.64622841001702e-16,1.0000000000000004
0.21052631578947367,-3.2959397467159905e-16,-1.387055408700063e-16,-1.333333333333334,-2.9189100704233743e-16,-1.7340449425544106e-17,-1.3333333333333324,-2.7634244722086346e-16,-8.887022438061788e-17,-1.3333333333333357,3.851302398849757e-16,1.34155195603985e-17,1.0000000000000002,3.0088029152513725e-16,1.1142379686982308e-16,1.0000000000000002,6.76560840458035e-17,6.992071376777996e-17,1.0000000000000002
0.24060150375939848,-3.006056702751123e-16,-2.9560092155338106e-16,-1.3333333333333328,-2.7128804023426435e-16,-2.31358838570579e-16,-1.333333333333334,-4.032624787490898e-16,-2.19371349872743e-16,-1.333333333333334,3.4217331621251184e-16,1.2493394956452084e-16,1.0000000000000002,3.185685946025731e-16,-1.4121523509087858e-16,1.0000000000000002,-1.570932706805589e-16,3.3284150195571105e-16,1.0000000000000002
0.2706766917293233,-1.2321516463085455e-16,-2.9879101127586496e-16,-1.3333333333333326,-1.8855240701474897e-16,-4.124222032811007e-16,-1.3333333333333335,3.7585069004161183e-16,-5.083582851751754e-16,-1.3333333333333341,-2.581382827465801e-17,3.055550010507352e-16,1.0,1.7425126949271068e-16,2.177210216024491e-17,1.0,-2.1543342048678105e-16,5.486701083064956e-16,1.0
